,150,Nigeria,-195,F,"Homosexuality receives up to 14 years in prison; death penalty (state Sharia laws). Nigeria also criminalizes discussion of LGBT rights & gender expression.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,149,Saudi Arabia,-176,F,"Homosexual acts as interpreted by Sharia law can be punished by the death sentence - 100 whips - or lyr banishment. Flogging can occur for cross-dressing.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,148,Malaysia,-163,F,"Homosexual intercourse results in up to 20 years in prison whipping and fines (state Sharia laws). Forms of gender expression are criminalized.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,147,Malawi,-162,F,"Homosexuality earns 14 years in prison for men and 5 years for women, with or without corporal punishment. Pro-LGBTQ+ organizations are banned.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,146,Oman,-145,F,Homosexual intercourse receives 6 months to 3 yrs in prison. Pro-LGBTQ+ organizations are banned. Imitating the opposite sex can result in prison time.,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,145,Jamaica,-143,F,Buggery receives up to 10 years in prison and hard labor. Homosexual indecent behavior results in up to 7 years in prison with or without hard labor.,NO LGBTQ+ PROTECTIONS,Limited Protections,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,144,Myanmar,-141,F,Carnal intercourse against the order of nature receives up to 20 years in prison. Gender expression is criminalized.,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,26-50%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,143,Qatar,-137,F,"Any homosexual acts will result in one to three years in prison, flogging, or death penalty under Sharia law.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range  from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,142,United Arab Emirates,-134,F,"Forms of gender expression earn up to 1 year in prison and a fine up to 10,000 dirhams (US $2,700) . Pro-LGBTQ+ organizations are banned.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,Illegal,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues",,,
,141,Yemen,-128,F,"Homosexuality (men): 100 lashes, 1 year in prison (unmarried), death by stoning (married). Homosexuality (women): 100 lashes, up to 3 years in prison.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,140,Zambia,-114,F,"'Unnatural or indecent acts', defined as homosexual acts, result in 7 years to life in prison.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,139,Tanzania,-111,F,"Any acts of homosexuality are liable to imprisonment from 30 years to life. Indecent behavior in regards to homosexuality earns up to 5 years in prison.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,Limited Protections,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,138,Sudan,-109,F,"Sodomy unnatural or indecent acts receive 5 years in prison for first and second convictions. life in prison if convicted for the third time.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,137,West Bank and Gaza,-106,F,"Outlaws same-sex relations. Homosexual acts receive up to 10 years in prison. Attempted homosexual acts result in 7 years in prison.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,136,Iran,-104,F,"Punishment for homosexual intercourse ranges from 31 lashes to 100 lashes to death 31 lashes exclusively for homosexual acts other than sex.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,"Legal to change gender but it requires sex reassignment surgery","Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,134,Uganda,-100,F,Homosexual intercourse results in life in prison. Gross indecency results in 7 years in prison. Pro-LGBTQ+ organizations are banned.,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,26-50%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,134,Maldives,-100,F,"Homosexual intercourse indecent acts with a person of the same sex and same-sex marriage receive up to 8 years in prison or 100 lashes.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty",
,131,Morocco,-96,F,Homosexual or “unnatural acts result in 6 months to 3 years in prison and fines. Public indecency results in up to 2 years and a fine.,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
,131,Egypt,-96,F,"Homosexuality earns a fine and up to 3 years in prison. Possessing homosexual materials receives up to 2 years in prison and a fine.",NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,NO LGBTQ+ PROTECTIONS,0-25%,NO LGBTQ+ PROTECTIONS,"Punishments range from jail time to the death penalty","Laws prevent the discussion of Pro-LGBTQ+ issues"
